index,CPSI,version,year,type
2,1.606045,top20v132,2012,chorus
3,1.744294,top20v132,2012,chorus
4,1.278005,top20v132,2012,chorus
5,1.973295,top20v132,2012,chorus
6,1.584561,top20v132,2012,chorus
7,1.514509,top20v132,2012,chorus
8,1.223686,top20v132,2012,chorus
9,1.727576,top20v132,2012,chorus
10,1.324118,top20v132,2012,chorus
11,1.368477,top20v132,2012,chorus
12,1.362233,top20v132,2012,chorus
13,1.358157,top20v132,2012,chorus
14,1.633328,top20v132,2012,chorus
15,1.344412,top20v132,2012,chorus
16,1.504371,top20v132,2012,chorus
17,1.575846,top20v132,2012,chorus
18,1.334047,top20v132,2012,chorus
19,1.446953,top20v132,2012,chorus
0,1.878573,top20v211,2012,chorus
1,1.741202,top20v211,2012,chorus
2,1.648117,top20v211,2012,chorus
3,1.481046,top20v211,2012,chorus
4,1.54867,top20v211,2012,chorus
5,1.595923,top20v211,2012,chorus
6,1.446008,top20v211,2012,chorus
7,1.959173,top20v211,2012,chorus
8,1.524307,top20v211,2012,chorus
9,1.641285,top20v211,2012,chorus
10,1.391214,top20v211,2012,chorus
11,2.315049,top20v211,2012,chorus
12,1.555138,top20v211,2012,chorus
13,1.841345,top20v211,2012,chorus
14,1.637939,top20v211,2012,chorus
15,1.742985,top20v211,2012,chorus
16,1.55498,top20v211,2012,chorus
17,1.971845,top20v211,2012,chorus
18,1.624281,top20v211,2012,chorus
19,1.632226,top20v211,2012,chorus
0,2.18097,top20v212,2012,chorus
1,2.068689,top20v212,2012,chorus
2,1.722735,top20v212,2012,chorus
3,1.872989,top20v212,2012,chorus
4,1.798812,top20v212,2012,chorus
5,1.749562,top20v212,2012,chorus
6,1.907358,top20v212,2012,chorus
7,2.534507,top20v212,2012,chorus
8,1.911674,top20v212,2012,chorus
9,1.803908,top20v212,2012,chorus
10,1.893048,top20v212,2012,chorus
11,2.796003,top20v212,2012,chorus
12,1.778335,top20v212,2012,chorus
13,1.913949,top20v212,2012,chorus
14,1.705775,top20v212,2012,chorus
15,2.003511,top20v212,2012,chorus
16,1.755641,top20v212,2012,chorus
17,2.419814,top20v212,2012,chorus
18,1.956458,top20v212,2012,chorus
19,1.92116,top20v212,2012,chorus
0,1.919269,top20v221,2012,chorus
1,1.339466,top20v221,2012,chorus
2,1.804848,top20v221,2012,chorus
3,1.083031,top20v221,2012,chorus
4,1.714069,top20v221,2012,chorus
5,1.171763,top20v221,2012,chorus
6,1.506697,top20v221,2012,chorus
7,0.643257,top20v221,2012,chorus
8,1.526327,top20v221,2012,chorus
9,0.390799,top20v221,2012,chorus
10,1.649986,top20v221,2012,chorus
11,0.914181,top20v221,2012,chorus
12,1.400774,top20v221,2012,chorus
13,0.643257,top20v221,2012,chorus
14,1.94962,top20v221,2012,chorus
15,1.098087,top20v221,2012,chorus
16,1.567693,top20v221,2012,chorus
17,0.620697,top20v221,2012,chorus
18,1.626878,top20v221,2012,chorus
19,0.755098,top20v221,2012,chorus
0,2.197471,top20v222,2012,chorus
1,2.147997,top20v222,2012,chorus
2,1.710555,top20v222,2012,chorus
3,1.931225,top20v222,2012,chorus
4,1.752545,top20v222,2012,chorus
5,1.767205,top20v222,2012,chorus
6,1.937023,top20v222,2012,chorus
7,2.528871,top20v222,2012,chorus
8,1.703678,top20v222,2012,chorus
9,1.776506,top20v222,2012,chorus
10,1.847127,top20v222,2012,chorus
11,2.765901,top20v222,2012,chorus
12,1.744851,top20v222,2012,chorus
13,1.858473,top20v222,2012,chorus
14,1.727992,top20v222,2012,chorus
15,1.952895,top20v222,2012,chorus
16,1.628272,top20v222,2012,chorus
17,2.428319,top20v222,2012,chorus
18,1.903348,top20v222,2012,chorus
19,1.883147,top20v222,2012,chorus
0,2.389898,top20v231,2012,chorus
1,2.059878,top20v231,2012,chorus
2,2.335384,top20v231,2012,chorus
3,1.791554,top20v231,2012,chorus
4,1.720175,top20v231,2012,chorus
5,1.986158,top20v231,2012,chorus
6,1.609347,top20v231,2012,chorus
7,1.930053,top20v231,2012,chorus
8,1.837769,top20v231,2012,chorus
9,1.973229,top20v231,2012,chorus
10,1.632242,top20v231,2012,chorus
11,1.784369,top20v231,2012,chorus
12,1.707487,top20v231,2012,chorus
13,1.684797,top20v231,2012,chorus
14,1.865742,top20v231,2012,chorus
15,2.214184,top20v231,2012,chorus
16,1.727053,top20v231,2012,chorus
17,1.779863,top20v231,2012,chorus
18,2.008313,top20v231,2012,chorus
19,2.07463,top20v231,2012,chorus
0,1.447707,top20v232,2012,chorus
1,1.470656,top20v232,2012,chorus
2,1.572084,top20v232,2012,chorus
3,1.741473,top20v232,2012,chorus
